$VALENCE,$AROUSAL,$LABEL
0.2167491912841797,0.09679469466209412,neutral
0.06247192621231079,0.1394272744655609,neutral
-0.397748738527298,0.42496785521507263,angry
-0.35213616490364075,0.48061034083366394,angry
0.29832202196121216,0.011719852685928345,annoyed
-0.03397578001022339,0.21371454000473022,annoyed
-0.057442277669906616,0.1596299409866333,annoyed
0.12488394975662231,0.0762515664100647,content
0.15877842903137207,0.09874871373176575,content
0.3828921318054199,0.1698874831199646,joyful
0.18455684185028076,0.3653908371925354,joyful
-0.03790995478630066,0.33656543493270874,angry
